POSITION,SIGNAL,SIG_ERR,NOISE,NOISE_ERR,SNR
0.2,2.84,0.01,0.103,0.002,27.57281553
0.5,1.9,0.01,0.106,0.003,17.9245283
1,1.42,0.01,0.108,0.003,13.14814815
1.5,1.2,0.02,0.105,0.006,11.42857143
2,0.8,0.001,0.106,0.002,7.547169811
2.5,0.7,0.001,0.107,0.003,6.542056075
3,0.508,0.005,0.107,0.003,4.747663551
3.5,0.445,0.007,0.107,0.004,4.158878505
4,0.375,0.006,0.104,0.002,3.605769231
4.5,0.227,0.01,0.106,0.002,2.141509434
5,0.305,0.004,0.106,0.003,2.877358491
