POSITION,SIGNAL,SIG_ERR,NOISE,NOISE_ERR,SNR
0.2,2.84,0.01,0.103,0.002,27.57281553
0.5,1.94,0.01,0.103,0.003,18.83495146
1,1.42,0.01,0.105,0.004,13.52380952
1.5,1.17,0.01,0.105,0.006,11.14285714
2,0.681,0.009,0.105,0.004,6.485714286
2.5,0.392,0.003,0.106,0.004,3.698113208
3,0.294,0.004,0.107,0.005,2.747663551
3.5,0.116,0.007,0.105,0.003,1.104761905
4,0.096,0.0027,0.103,0.004,0.932038835
4.5,0.057,0.012,0.105,0.002,0.542857143
5,0.019,0.004,0.105,0.004,0.180952381
