POSITION,SIGNAL,SIG_ERR,NOISE,NOISE_ERR,SNR
0.2,5.39,0.01,0.0365,0.0055,147.6712329
0.5,3.19,0.01,0.041,0.007,77.80487805
1,1.5,0.01,0.04,0.007,37.5
1.5,0.823,0.006,0.044,0.01,18.70454545
2,0.503,0.002,0.036,0.004,13.97222222
2.5,0.321,0.006,0.04,0.009,8.025
3,0.294,0.005,0.0405,0.0085,7.259259259
3.5,0.1385,0.0065,0.0505,0.0095,2.742574257
4,0.103,0.01,0.0375,0.0095,2.746666667
4.5,0.09915,0.00085,0.0485,0.0085,2.044329897
5,0.087,0.005,0.0305,0.0065,2.852459016
